ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B0044WVY2S,"Pampers Baby Diapers - Swaddlers - Size 4, 66 Count, Ultra Absorbent Disposable Infant Diaper",$0.28,$0.28,https://www.amazon.com/dp/B0044WVY2S,100,1,Drugstore,-1078.08%,$-3.04,N/A,N/A,N/A,N/A,Y,
B0BF8L7JKV,"Crocs Unisex-Adult Classic Clogs, Neo Mint, 2 Men/4 Women",$0.50,$0.29,https://www.amazon.com/dp/B0BF8L7JKV,100,1,Shoes,-995.99%,$-2.86,N/A,N/A,N/A,N/A,N,
B088439F5K,Amazon Basics AAAA 1.5 Volt Everyday Alkaline Batteries,N/A,N/A,https://www.amazon.com/dp/B088439F5K,100,1,Drugstore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B088433DH4,"Crocs Unisex-Adult Classic Clogs, Lavender, 13 Men/15 Women",$0.31,$0.40,https://www.amazon.com/dp/B088433DH4,100,1,Shoes,-786.42%,$-3.14,N/A,N/A,N/A,N/A,N,
B08RP9WRYT,"Crocs Classic Clog Mineral Blue Men's 10, Women's 12 Medium",$0.41,$0.76,https://www.amazon.com/dp/B08RP9WRYT,100,1,Shoes,-447.09%,$-3.42,N/A,N/A,N/A,N/A,N,
B07TTJJ3Z6,"Crocs Classic Clog Pistachio Men's 12, Women's 14 Medium",$0.50,$0.76,https://www.amazon.com/dp/B07TTJJ3Z6,100,1,Shoes,-437.05%,$-3.34,N/A,N/A,N/A,N/A,N,
B010PEKG9A,"Amazon Basics Leakproof Dog and Puppy Pee Pads with 5-Layer Quick-Dry Surface for Potty Training, Standard Absorbency, Giant, 27.5 x 44Inch, Pack of 40, Blue & White",$0.20,$0.20,https://www.amazon.com/dp/B010PEKG9A,100,1,Pet Products,-1515.75%,$-3.03,N/A,N/A,N/A,N/A,N,
B08412MCNW,"Crocs Classic Clog Banana Men's 5, Women's 7 Medium",$1.02,$0.50,https://www.amazon.com/dp/B08412MCNW,100,1,Shoes,-526.70%,$-2.63,N/A,N/A,N/A,N/A,N,
B072Q63YF6,"Crocs Classic Clog Banana Men's 8, Women's 10 Medium",$0.71,$0.54,https://www.amazon.com/dp/B072Q63YF6,100,1,Shoes,-544.17%,$-2.94,N/A,N/A,N/A,N/A,N,
B09773B7YF,"Crocs Classic Clog Stucco Men's 9, Women's 11 Medium",$0.50,$0.76,https://www.amazon.com/dp/B09773B7YF,100,1,Shoes,-437.04%,$-3.34,N/A,N/A,N/A,N/A,N,
B0D9MVMVMH,"Pampers Baby Diapers - Swaddlers - Size 3, 26 Count, Ultra Absorbent Disposable Infant Diaper",$0.10,$0.09,https://www.amazon.com/dp/B0D9MVMVMH,100,1,Drugstore,-3201.34%,$-3.01,N/A,N/A,N/A,N/A,Y,
B08KHL6C3T,"Crocs Unisex-Adult Classic Clogs, Taffy Pink, 11 Men/13 Women",$0.50,$0.50,https://www.amazon.com/dp/B08KHL6C3T,100,1,Shoes,-616.05%,$-3.07,N/A,N/A,N/A,N/A,Y,
B0DT76J6WB,"Crocs Unisex-Adult Classic Clogs, Orange Zing, 5 Men/7 Women",$0.50,$0.39,https://www.amazon.com/dp/B0DT76J6WB,100,1,Shoes,-752.75%,$-2.97,N/A,N/A,N/A,N/A,N,
B07V36F4G9,"Crocs Unisex-Adult Classic Clogs, Orange Zing, 7 Men/9 Women",$0.50,$0.50,https://www.amazon.com/dp/B07V36F4G9,100,1,Shoes,-616.15%,$-3.07,N/A,N/A,N/A,N/A,N,
