ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B0BF8Z7SKJ,"Crocs Classic Clog Jade Stone Men's 6, Women's 8 Medium",$0.50,$0.60,https://www.amazon.com/dp/B0BF8Z7SKJ,100,1,Shoes,-529.25%,$-3.17,N/A,N/A,N/A,N/A,N,
B0BSGBHR7J,"Crocs Classic Clog Moon Jelly Men's 14, Women's 16 Medium",N/A,$0.35,https://www.amazon.com/dp/B0BSGBHR7J,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B07TWMY3JR,"Crocs Classic Clog Sunflower Men's 16, Women's 18 Medium",N/A,$0.50,https://www.amazon.com/dp/B07TWMY3JR,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B09FHKX167,"Medicube Deep Vita C Facial Pads, Vitamin C Toner Pads for Uneven Skin Tone, 500,000PPM of vitamin water & 3 types of vitamin, Hydrating & Resurfacing (70 sheets)",N/A,$0.15,https://www.amazon.com/dp/B09FHKX167,100,1,Beauty,N/A,N/A,N/A,N/A,N/A,N/A,N,
B08KHCH2JW,"Crocs Classic Clog Dark Cherry Men's 8, Women's 10 Medium",$0.50,$0.78,https://www.amazon.com/dp/B08KHCH2JW,100,1,Shoes,-428.41%,$-3.36,N/A,N/A,N/A,N/A,N,
B07TJ9HGLB,"Crocs Unisex Classic Clog Dark Cherry Men's 15, Women's 17 Medium",N/A,$0.50,https://www.amazon.com/dp/B07TJ9HGLB,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B081KJGDF8,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Quartz, 10 Men/12 Women",$0.50,$0.40,https://www.amazon.com/dp/B081KJGDF8,100,1,Shoes,-744.74%,$-2.97,N/A,N/A,N/A,N/A,N,
B09NMCF2YV,Crocs Unisex Classic Clogs Linen 3 M,$0.50,$0.50,https://www.amazon.com/dp/B09NMCF2YV,100,1,Shoes,-615.60%,$-3.07,N/A,N/A,N/A,N/A,N,
B0DCJ913FG,MedPride Powder-Free Nitrile Exam Gloves (Small (Pack of 200)),$0.24,$0.24,https://www.amazon.com/dp/B0DCJ913FG,100,1,Drugstore,-1279.76%,$-3.04,N/A,N/A,N/A,N/A,N,
B0D61GSQ3T,"Crocs Unisex Classic Clog Dragon Fruit Men's 9, Women's 11 Medium",$0.34,$0.39,https://www.amazon.com/dp/B0D61GSQ3T,100,1,Shoes,-793.90%,$-3.10,N/A,N/A,N/A,N/A,N,
B00GS8VGP6,"Crocs Unisex Classic Clog Dragon Fruit Men's 2, Women's 4 Medium",N/A,$0.39,https://www.amazon.com/dp/B00GS8VGP6,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,Y,
B00401ZK0U,"Mini Mic Pro (Latest Model - Wireless Microphone for iPhone, iPad, Android, Lavalier Microphone for Video Recording - iPhone Mic Crystal Clear Recording with USB-C for Podcast (iPhone 14 & Below)",N/A,$0.20,https://www.amazon.com/dp/B00401ZK0U,100,1,Electronics,N/A,N/A,N/A,N/A,N/A,N/A,N,
B08KHHRZKM,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports, Travel, and School BPA-Free Sports Water Bottle, 32 oz, Tropical",$0.35,$0.35,https://www.amazon.com/dp/B08KHHRZKM,100,1,Kitchen,-872.39%,$-3.05,N/A,N/A,N/A,N/A,Y,
B07X2QG44K,Crocs Unisex Classic Clog Mint Tint Men 11/Women 13 Medium,N/A,$0.50,https://www.amazon.com/dp/B07X2QG44K,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B0DQ9KLTF5,"CELSIUS Sparkling Strawberry Passionfruit, Sugar Free Energy Drink, 12 Fl Oz (Pack of 12)",$0.20,$0.20,https://www.amazon.com/dp/B0DQ9KLTF5,100,1,Grocery,-1516.50%,$-3.03,N/A,N/A,N/A,N/A,N,
B0C7K9Q2WT,Crocs Unisex Classic Clog Starfish Men 6/Women 8 Medium,$0.50,$0.50,https://www.amazon.com/dp/B0C7K9Q2WT,100,1,Shoes,-615.60%,$-3.07,N/A,N/A,N/A,N/A,N,
